MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/05/2023 00:00:00,Rondeau Christopher,4,P-Purchase,--I,10000,36305,1,0001649552,Class A common stock
A,05/01/2023 00:00:00,BENSON CRAIG R,4,A-Award,--D,1383,16425,1,0000902605,Class A common stock
A,05/01/2023 00:00:00,Acoca Bernard,4,A-Award,--D,1383,3759,1,0001734697,Class A common stock
A,05/01/2023 00:00:00,Anderson Enshalla,4,A-Award,--D,1383,6940,1,0001801213,Class A Common Stock
A,05/01/2023 00:00:00,RATHKE FRANCES G,4,A-Award,--D,1383,19415,1,0001226477,Class A common stock
A,05/01/2023 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,1383,15836,1,0001379586,Class A Common Stock
A,05/01/2023 00:00:00,Tanco Christopher,4,A-Award,--D,1383,5944,1,0001842402,Class A common stock
A,05/01/2023 00:00:00,Spinelli Stephen JR,4,A-Award,--D,1383,21825,1,0001361944,Class A common stock
D,04/10/2023 00:00:00,Simmons Jennifer,4,S-Sale,--D,15,6706,1,0001953262,Class A Common Stock
A,04/03/2023 00:00:00,Spinelli Stephen JR,4,A-Award,--D,466,20442,1,0001361944,Class A common stock
A,04/03/2023 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,311,14453,1,0001379586,Class A Common Stock
A,04/03/2023 00:00:00,RATHKE FRANCES G,4,A-Award,--D,311,18032,1,0001226477,Class A common stock
A,04/03/2023 00:00:00,Tanco Christopher,4,A-Award,--D,302,4561,1,0001842402,Class A common stock
A,04/03/2023 00:00:00,Anderson Enshalla,4,A-Award,--D,294,5557,1,0001801213,Class A Common Stock
D,03/20/2023 00:00:00,Simmons Jennifer,4,S-Sale,--D,86,6721,1,0001953262,Class A Common Stock
D,03/20/2023 00:00:00,O'Donnell Brian,4,S-Sale,--D,61,4342,1,0001798770,Class A Common Stock
D,03/16/2023 00:00:00,Simmons Jennifer,4,S-Sale,--D,62,6807,3,0001953262,Class A Common Stock
A,03/15/2023 00:00:00,O'Donnell Brian,4,A-Award,--D,248,4403,2,0001798770,Class A Common Stock
A,03/15/2023 00:00:00,O'Donnell Brian,4,A-Award,--D,1061,4155,1,0001798770,Class A Common Stock
A,03/15/2023 00:00:00,Fitzgerald Thomas J III,4,A-Award,--D,6375,20768,2,0001760913,Class A Common Stock
A,03/15/2023 00:00:00,Fitzgerald Thomas J III,4,A-Award,--D,2858,14393,1,0001760913,Class A Common Stock
A,03/15/2023 00:00:00,Rondeau Christopher,4,A-Award,--D,24359,86595,2,0001649552,Class A common stock
A,03/15/2023 00:00:00,Rondeau Christopher,4,A-Award,--D,11972,62236,1,0001649552,Class A common stock
A,03/15/2023 00:00:00,Bode William,4,A-Award,--D,2854,11434,2,0001835869,Class A Common Stock
A,03/15/2023 00:00:00,Bode William,4,A-Award,--D,1270,8580,1,0001835869,Class A Common Stock
A,03/15/2023 00:00:00,Hymes Edward,4,A-Award,--D,5724,12401,1,0001961306,Class A common stock
A,03/15/2023 00:00:00,Simmons Jennifer,4,A-Award,--D,2654,6869,2,0001953262,Class A common stock
A,03/15/2023 00:00:00,Simmons Jennifer,4,A-Award,--D,823,4215,1,0001953262,Class A common stock
A,02/03/2023 00:00:00,Anderson Enshalla,4,A-Award,--D,342,5263,1,0001801213,Class A Common Stock
A,01/20/2023 00:00:00,Tanco Christopher,4,A-Award,--D,409,4259,1,0001842402,Class A common stock
A,01/20/2023 00:00:00,Acoca Bernard,4,A-Award,--D,409,2376,1,0001734697,Class A common stock
A,01/09/2023 00:00:00,Hymes Edward,4,A-Award,--D,6677,6677,1,0001961306,Class A common stock
A,01/03/2023 00:00:00,RATHKE FRANCES G,4,A-Award,--D,303,17721,1,0001226477,Class A common stock
A,01/03/2023 00:00:00,Tanco Christopher,4,A-Award,--D,295,3850,1,0001842402,Class A common stock
A,01/03/2023 00:00:00,Anderson Enshalla,4,A-Award,--D,287,4921,1,0001801213,Class A Common Stock
A,01/03/2023 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,303,14142,1,0001379586,Class A Common Stock
A,01/03/2023 00:00:00,Spinelli Stephen JR,4,A-Award,--D,455,19976,1,0001361944,Class A common stock
A,10/10/2022 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,1072,13839,1,0001379586,Class A Common Stock
A,10/03/2022 00:00:00,Spinelli Stephen JR,4,A-Award,--D,610,19521,1,0001361944,Class A common stock
A,10/03/2022 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,406,12767,1,0001379586,Class A Common Stock
A,10/03/2022 00:00:00,Anderson Enshalla,4,A-Award,--D,385,4634,1,0001801213,Class A Common Stock
A,10/03/2022 00:00:00,Tanco Christopher,4,A-Award,--D,396,3555,1,0001842402,Class A common stock
A,10/03/2022 00:00:00,RATHKE FRANCES G,4,A-Award,--D,406,17418,1,0001226477,Class A common stock
A,08/04/2022 00:00:00,RATHKE FRANCES G,4,A-Award,--D,1067,17012,1,0001226477,Class A common stock
A,07/27/2022 00:00:00,BENSON CRAIG R,4,A-Award,--D,1129,15042,1,0000902605,Class A common stock
A,07/01/2022 00:00:00,Tanco Christopher,4,A-Award,--D,333,3159,1,0001842402,Class A common stock
A,07/01/2022 00:00:00,Anderson Enshalla,4,A-Award,--D,324,4249,1,0001801213,Class A Common Stock
A,07/01/2022 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,342,12361,1,0001379586,Class A Common Stock
A,07/01/2022 00:00:00,RATHKE FRANCES G,4,A-Award,--D,342,15945,1,0001226477,Class A common stock
A,07/01/2022 00:00:00,Spinelli Stephen JR,4,A-Award,--D,514,18911,1,0001361944,Class A common stock
A,05/02/2022 00:00:00,Spinelli Stephen JR,4,A-Award,--D,1421,18937,1,0001361944,Class A common stock
D,04/11/2022 00:00:00,Bode William,4,S-Sale,--D,44,7310,1,0001835869,Class A Common Stock
D,04/05/2022 00:00:00,Bode William,4,S-Sale,--D,116,7354,1,0001835869,Class A Common Stock
A,04/04/2022 00:00:00,Spinelli Stephen JR,4,A-Award,--D,325,16976,1,0001361944,Class A common stock
A,04/04/2022 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,192,12019,1,0001379586,Class A Common Stock
A,04/04/2022 00:00:00,RATHKE FRANCES G,4,A-Award,--D,192,15603,1,0001226477,Class A common stock
A,04/04/2022 00:00:00,Tanco Christopher,4,A-Award,--D,185,2826,1,0001842402,Class A common stock
A,04/04/2022 00:00:00,Anderson Enshalla,4,A-Award,--D,183,3925,1,0001801213,Class A Common Stock
D,03/21/2022 00:00:00,Bode William,4,S-Sale,--D,198,7470,1,0001835869,Class A Common Stock
A,03/15/2022 00:00:00,O'Donnell Brian,4,A-Award,--D,571,571,2,0001798770,Option to purchase Class A common stock
A,03/15/2022 00:00:00,O'Donnell Brian,4,A-Award,--D,291,3094,1,0001798770,Class A Common Stock
A,03/15/2022 00:00:00,Bode William,4,A-Award,--D,2913,2913,2,0001835869,Option to purchase Class A common stock
A,03/15/2022 00:00:00,Bode William,4,A-Award,--D,1485,7668,1,0001835869,Class A Common Stock
A,03/15/2022 00:00:00,Rondeau Christopher,4,A-Award,--D,27450,27450,2,0001649552,Stock Options (Right to buy)
A,03/15/2022 00:00:00,Rondeau Christopher,4,A-Award,--D,13995,72688,1,0001649552,Class A common stock
A,03/15/2022 00:00:00,Fitzgerald Thomas J III,4,A-Award,--D,6554,6554,2,0001760913,Stock Options (Right to buy)
A,03/15/2022 00:00:00,Fitzgerald Thomas J III,4,A-Award,--D,3341,11535,1,0001760913,Class A Common Stock
A,03/15/2022 00:00:00,Tucker Jeremy,4,A-Award,--D,3149,3149,2,0001838285,Stock Options (Right to buy)
A,03/15/2022 00:00:00,Tucker Jeremy,4,A-Award,--D,1605,6228,1,0001838285,Class A Common Stock
A,03/15/2022 00:00:00,McGuiness Shane,4,A-Award,--D,3739,3739,2,0001911157,Stock Options (Right to buy)
A,03/15/2022 00:00:00,McGuiness Shane,4,A-Award,--D,1906,21692,1,0001911157,Class A common stock
A,02/10/2022 00:00:00,McGuiness Shane,4,A-Award,--D,19786,19786,1,0001911157,Class A common stock
A,02/03/2022 00:00:00,Anderson Enshalla,4,A-Award,--D,935,3742,1,0001801213,Class A Common Stock
A,01/20/2022 00:00:00,Acoca Bernard,4,A-Award,--D,963,1967,1,0001734697,Class A common stock
A,01/20/2022 00:00:00,Tanco Christopher,4,A-Award,--D,963,2641,1,0001842402,Class A common stock
A,01/03/2022 00:00:00,Tanco Christopher,4,A-Award,--D,169,1678,1,0001842402,Class A common stock
A,01/03/2022 00:00:00,Anderson Enshalla,4,A-Award,--D,168,2807,1,0001801213,Class A Common Stock
A,01/03/2022 00:00:00,RATHKE FRANCES G,4,A-Award,--D,176,15411,1,0001226477,Class A common stock
A,01/03/2022 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,176,11827,1,0001379586,Class A Common Stock
A,01/03/2022 00:00:00,Spinelli Stephen JR,4,A-Award,--D,298,16651,1,0001361944,Class A common stock
D,11/22/2021 00:00:00,Tucker Jeremy,4,S-Sale,--D,111,4623,1,0001838285,Class A Common Stock
D,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,8362,25087,14,0001649552,Stock Options (Right to buy)
D,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,31409,52350,13,0001649552,Stock Options (Right to buy)
D,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,137127,137127,12,0001649552,Stock Options (Right to buy)
D,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,85000,85000,11,0001649552,Stock Options (Right to buy)
D,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,4000,58693,10,0001649552,Class A common stock
D,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,86868,62693,9,0001649552,Class A common stock
D,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,131259,149561,8,0001649552,Class A common stock
D,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,4050,280820,7,0001649552,Class A common stock
D,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,9780,284870,6,0001649552,Class A common stock
D,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,25941,294650,5,0001649552,Class A common stock
A,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,8362,320591,4,0001649552,Class A common stock
A,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,31409,312229,3,0001649552,Class A common stock
A,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,137127,280820,2,0001649552,Class A common stock
A,11/15/2021 00:00:00,Rondeau Christopher,4,J-Other,-ED,85000,143693,1,0001649552,Class A common stock
D,11/08/2021 00:00:00,Rondeau Christopher,4,C-Conversion,--I,150000,1423333,3,0001649552,Holding Units and Class B common stock
D,11/08/2021 00:00:00,Rondeau Christopher,4,S-Sale,--I,150000,0,2,0001649552,Class A common stock
A,11/08/2021 00:00:00,Rondeau Christopher,4,C-Conversion,--I,150000,150000,1,0001649552,Class A common stock
A,10/10/2021 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,1008,11651,1,0001379586,Class A Common Stock
A,10/01/2021 00:00:00,Spinelli Stephen JR,4,A-Award,--D,330,16353,1,0001361944,Class A common stock
A,10/01/2021 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,195,10643,1,0001379586,Class A Common Stock
A,10/01/2021 00:00:00,Anderson Enshalla,4,A-Award,--D,186,2639,1,0001801213,Class A Common Stock
A,10/01/2021 00:00:00,Tanco Christopher,4,A-Award,--D,188,1509,1,0001842402,Class A common stock
A,10/01/2021 00:00:00,RATHKE FRANCES G,4,A-Award,--D,195,15235,1,0001226477,Class A common stock
D,08/27/2021 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,51533,317993,8,0001135314,Holding Units and Class B common stock
D,08/27/2021 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,23768,54671,6,0001135314,Class A Common Stock
A,08/27/2021 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,23768,78439,5,0001135314,Class A Common Stock
D,08/27/2021 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,27765,54671,4,0001135314,Class A Common Stock
A,08/27/2021 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,27765,82436,3,0001135314,Class A Common Stock
D,08/26/2021 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,48467,369526,7,0001135314,Holding Units and Class B common stock
D,08/26/2021 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,48467,54671,2,0001135314,Class A Common Stock
A,08/26/2021 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,48467,103138,1,0001135314,Class A Common Stock
A,08/19/2021 00:00:00,Fitzgerald Thomas J III,4,P-Purchase,--D,1000,8194,1,0001760913,Class A Common Stock
A,08/04/2021 00:00:00,RATHKE FRANCES G,4,A-Award,--D,1100,15040,1,0001226477,Class A common stock
A,07/27/2021 00:00:00,BENSON CRAIG R,4,A-Award,--D,1062,13913,1,0000902605,Class A common stock
A,07/01/2021 00:00:00,Tanco Christopher,4,A-Award,--D,158,1321,1,0001842402,Class A common stock
A,07/01/2021 00:00:00,Anderson Enshalla,4,A-Award,--D,200,2453,1,0001801213,Class A Common Stock
A,07/01/2021 00:00:00,RATHKE FRANCES G,4,A-Award,--D,221,13940,1,0001226477,Class A common stock
A,07/01/2021 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,215,10448,1,0001379586,Class A Common Stock
A,07/01/2021 00:00:00,Spinelli Stephen JR,4,A-Award,--D,382,16023,1,0001361944,Class A common stock
A,05/03/2021 00:00:00,Spinelli Stephen JR,4,A-Award,--D,969,15641,1,0001361944,Class A common stock
D,04/12/2021 00:00:00,O'Donnell Brian,4,S-Sale,--D,77,2803,1,0001798770,Class A Common Stock
D,04/05/2021 00:00:00,O'Donnell Brian,4,S-Sale,--D,215,2880,1,0001798770,Class A Common Stock
D,04/05/2021 00:00:00,Bode William,4,S-Sale,--D,446,6183,1,0001835869,Class A Common Stock
A,04/01/2021 00:00:00,Tanco Christopher,4,A-Award,--D,159,1163,1,0001842402,Class A common stock
A,04/01/2021 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,206,10233,1,0001379586,Class A Common Stock
A,04/01/2021 00:00:00,RATHKE FRANCES G,4,A-Award,--D,222,13719,1,0001226477,Class A common stock
A,04/01/2021 00:00:00,Spinelli Stephen JR,4,A-Award,--D,396,14672,1,0001361944,Class A common stock
A,04/01/2021 00:00:00,Anderson Enshalla,4,A-Award,--D,183,2253,1,0001801213,Class A Common Stock
A,03/19/2021 00:00:00,O'Donnell Brian,4,A-Award,--D,1901,13821,2,0001798770,Option to purchase Class A common stock
A,03/19/2021 00:00:00,O'Donnell Brian,4,A-Award,--D,773,3095,1,0001798770,Class A Common Stock
A,03/19/2021 00:00:00,Bode William,4,A-Award,--D,6961,42671,2,0001835869,Option to purchase Class A common stock
A,03/19/2021 00:00:00,Bode William,4,A-Award,--D,3028,6629,1,0001835869,Class A Common Stock
A,03/19/2021 00:00:00,Tucker Jeremy,4,A-Award,--D,7932,13445,2,0001838285,Option to purchase Class A common stock
A,03/19/2021 00:00:00,Tucker Jeremy,4,A-Award,--D,3427,4734,1,0001838285,Class A Common Stock
A,03/19/2021 00:00:00,Miller Craig Jeffrey,4,A-Award,--D,10746,50800,2,0001444836,Option to purchase Class A common stock
A,03/19/2021 00:00:00,Miller Craig Jeffrey,4,A-Award,--D,4358,11938,1,0001444836,Class A common stock
A,03/19/2021 00:00:00,Fitzgerald Thomas J III,4,A-Award,--D,9693,15995,2,0001760913,Option to purchase Class A common stock
A,03/19/2021 00:00:00,Fitzgerald Thomas J III,4,A-Award,--D,4196,7194,1,0001760913,Class A Common Stock
A,03/19/2021 00:00:00,LIVELY DORVIN D,4,A-Award,--D,26034,184506,2,0001135314,Option to purchase Class A common stock
A,03/19/2021 00:00:00,LIVELY DORVIN D,4,A-Award,--D,10664,54671,1,0001135314,Class A common stock
A,03/19/2021 00:00:00,Rondeau Christopher,4,A-Award,--D,83148,689401,2,0001649552,Option to purchase Class A common stock
A,03/19/2021 00:00:00,Rondeau Christopher,4,A-Award,--D,34341,72532,1,0001649552,Class A common stock
D,03/10/2021 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,29268,417993,10,0001135314,Holding Units and Class B common stock
D,03/10/2021 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,15527,44007,8,0001135314,Class A common stock
A,03/10/2021 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,15527,59534,7,0001135314,Class A common stock
D,03/10/2021 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,13741,44007,6,0001135314,Class A Common Stock
A,03/10/2021 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,13741,57748,5,0001135314,Class A common stock
D,03/09/2021 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,70732,447261,9,0001135314,Holding Units and Class B common stock
D,03/09/2021 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,7282,44007,4,0001135314,Class A Common Stock
A,03/09/2021 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,7282,51289,3,0001135314,Class A Common Stock
D,03/09/2021 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,63450,44007,2,0001135314,Class A Common Stock
A,03/09/2021 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,63450,107457,1,0001135314,Class A Common Stock
D,03/08/2021 00:00:00,O'Donnell Brian,4,S-Sale,--D,87,2322,1,0001798770,Class A Common Stock
A,02/03/2021 00:00:00,Anderson Enshalla,4,A-Award,--D,1090,2070,1,0001801213,Class A Common Stock
A,01/20/2021 00:00:00,Tanco Christopher,4,A-Award,-ED,1004,1004,1,0001842402,Class A common stock
A,01/20/2021 00:00:00,Acoca Bernard,4,A-Award,--D,1004,1004,1,0001734697,Class A common stock
D,01/06/2021 00:00:00,O'Donnell Brian,4,S-Sale,--D,26,2409,1,0001798770,Common Stock
A,01/04/2021 00:00:00,RATHKE FRANCES G,4,A-Award,--D,236,13497,1,0001226477,Class A common stock
A,01/04/2021 00:00:00,Spinelli Stephen JR,4,A-Award,--D,421,14276,1,0001361944,Class A common stock
A,01/04/2021 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,219,10027,1,0001379586,Class A Common Stock
D,12/08/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,42929,1573333,5,0001649552,Holding Units and Class B common stock
D,12/08/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,200,0,4,0001649552,Class A common stock
A,12/08/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,200,200,3,0001649552,Class A common stock
D,12/08/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,42729,0,2,0001649552,Class A common stock
A,12/08/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,42729,42729,1,0001649552,Class A common stock
D,12/04/2020 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,100000,517993,5,0001135314,Holding Units and Class B common stock
D,12/04/2020 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,62079,44007,4,0001135314,Class A Common Stock
A,12/04/2020 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,62079,106086,3,0001135314,Class A common stock
D,12/04/2020 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,37921,44007,2,0001135314,Class A Common Stock
A,12/04/2020 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,37921,81928,1,0001135314,Class A Common Stock
D,12/04/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,4857,1616262,6,0001649552,Holding Units and Class B common stock
D,12/04/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,4857,0,4,0001649552,Class A common stock
A,12/04/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,4857,4857,3,0001649552,Class A common stock
D,12/03/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,65887,1621119,5,0001649552,Holding Units and Class B common stock
D,12/03/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,65887,0,2,0001649552,Class A common stock
A,12/03/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,65887,65887,1,0001649552,Class A common stock
D,12/02/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,11400,1687006,6,0001649552,Holding Units and Class B common stock
D,12/02/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,11400,0,4,0001649552,Class A common stock
A,12/02/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,11400,11400,3,0001649552,Class A common stock
D,12/01/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,90084,1698406,5,0001649552,Holding Units and Class B common stock
D,12/01/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,90084,0,2,0001649552,Class A common stock
A,12/01/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,90084,90084,1,0001649552,Class A common stock
D,11/24/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,89890,1788490,3,0001649552,Holding Units and Class B common stock
D,11/24/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,89890,0,2,0001649552,Class A common stock
A,11/24/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,89890,89890,1,0001649552,Class A common stock
D,11/12/2020 00:00:00,O'Donnell Brian,4,M-Exempt,--D,3672,0,3,0001798770,Stock Options (Right to buy)
D,11/12/2020 00:00:00,O'Donnell Brian,4,S-Sale,--D,3672,2435,2,0001798770,Class A common Stock
A,11/12/2020 00:00:00,O'Donnell Brian,4,M-Exempt,--D,3672,6107,1,0001798770,Class A common Stock
D,11/11/2020 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,43003,617993,8,0001135314,Holding Units and Class B common stock
D,11/11/2020 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,16008,44007,6,0001135314,Class A common stock
A,11/11/2020 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,16008,60015,5,0001135314,Class A Common Stock
D,11/11/2020 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,26995,44007,4,0001135314,Class A Common Stock
A,11/11/2020 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,26995,71002,3,0001135314,Class A common stock
D,11/10/2020 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,56997,660996,7,0001135314,Holding Units and Class B common stock
D,11/10/2020 00:00:00,LIVELY DORVIN D,4,S-Sale,--D,56997,44007,2,0001135314,Class A Common Stock
A,11/10/2020 00:00:00,LIVELY DORVIN D,4,C-Conversion,--D,56997,101004,1,0001135314,Class A Common Stock
D,11/10/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,44953,1878380,24,0001649552,Holding Units and Class B common stock
D,11/10/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,300,0,22,0001649552,Class A common stock
A,11/10/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,300,300,21,0001649552,Class A common stock
D,11/10/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,3000,0,20,0001649552,Class A common stock
A,11/10/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,3000,3000,19,0001649552,Class A common stock
D,11/10/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,41653,0,18,0001649552,Class A common stock
A,11/10/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,41653,41653,17,0001649552,Class A common stock
D,11/09/2020 00:00:00,BENSON CRAIG R,5,G-Gift,--D,12300,123252,1,0000902605,Holdings Units and Class B common stock
D,11/09/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,150000,1923333,23,0001649552,Holding Units and Class B common stock
D,11/09/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,100,0,16,0001649552,Class A common stock
A,11/09/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,100,100,15,0001649552,Class A common stock
D,11/09/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,1400,0,14,0001649552,Class A common stock
A,11/09/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,1400,1400,13,0001649552,Class A common stock
D,11/09/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,900,0,12,0001649552,Class A common stock
A,11/09/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,900,900,11,0001649552,Class A common stock
D,11/09/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,2400,0,10,0001649552,Class A common stock
A,11/09/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,2400,2400,9,0001649552,Class A common stock
D,11/09/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,4795,0,8,0001649552,Class A common stock
A,11/09/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,4795,4795,7,0001649552,Class A common stock
D,11/09/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,50277,0,6,0001649552,Class A common stock
A,11/09/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,50277,50277,5,0001649552,Class A common stock
D,11/09/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,42758,0,4,0001649552,Class A common stock
A,11/09/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,42758,42758,3,0001649552,Class A common stock
D,11/09/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,47370,0,2,0001649552,Class A common stock
A,11/09/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,47370,47370,1,0001649552,Class A common stock
D,10/16/2020 00:00:00,Rondeau Christopher,5,G-Gift,--I,228519,1573333,1,0001649552,Holding Unit and Class B common stock
A,10/10/2020 00:00:00,DUNAWAY CAMBRIA W,4,A-Award,--D,1183,9808,1,0001379586,Class A Common Stock
D,10/08/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,100000,1752023,6,0001649552,Holding Units and Class B common stock
D,10/08/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,100000,0,4,0001649552,Class A common stock
A,10/08/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,100000,100000,3,0001649552,Class A common stock
D,10/07/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,150000,1852023,5,0001649552,Holding Units and Class B common stock
D,10/07/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,150000,0,2,0001649552,Class A common stock
A,10/07/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,150000,150000,1,0001649552,Class A common stock
D,09/15/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,100000,2002023,11,0001649552,Holding Units and Class B common stock
D,09/15/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,15749,0,9,0001649552,Class A common stock
A,09/15/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,15749,15749,8,0001649552,Class A common stock
D,09/15/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,65750,0,7,0001649552,Class A common stock
A,09/15/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,65750,65750,6,0001649552,Class A common stock
D,09/15/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,18501,0,5,0001649552,Class A common stock
A,09/15/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,18501,18501,4,0001649552,Class A common stock
D,09/14/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,76417,2102023,10,0001649552,Holding Units and Class B common stock
D,09/14/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,86922,0,3,0001649552,Class A common stock
D,09/14/2020 00:00:00,Rondeau Christopher,4,S-Sale,--I,63078,86922,2,0001649552,Class A common stock
A,09/14/2020 00:00:00,Rondeau Christopher,4,C-Conversion,--I,76417,150000,1,0001649552,Class A common stock
