MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,12/22/2022 00:00:00,Kodialam Rajini Sundar,4,F-InKind,--D,1906,17465,1,0001746246,"Common Units in Focus Financial Partners, LLC"
D,12/22/2022 00:00:00,Chang Leonard R.,4,F-InKind,--D,1926,13609,1,0001796968,"Common Units in Focus Financial Partners, LLC"
D,12/22/2022 00:00:00,Shanahan James,4,F-InKind,--I,1404,12490,1,0001746394,"Common Units in Focus Financial Partners, LLC"
D,12/22/2022 00:00:00,McGranahan John Russell,4,F-InKind,--D,757,11674,1,0001796907,"Common Units in Focus Financial Partners, LLC"
D,12/22/2022 00:00:00,Adolf Ruediger,4,F-InKind,--D,1798,27727,1,0001746236,"Common Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Shanahan James,4,A-Award,--I,12636,31129,2,0001746394,"Common Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Shanahan James,4,A-Award,--I,33240,33240,1,0001746394,"Incentive Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Morganroth Greg S.,4,A-Award,--D,2261,4374,2,0001826140,"Common Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Morganroth Greg S.,4,A-Award,--D,5948,5948,1,0001826140,"Incentive Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,LeMieux George,4,A-Award,--D,2261,2261,2,0001916750,"Common Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,LeMieux George,4,A-Award,--D,5948,5948,1,0001916750,"Incentive Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Feliciani Joseph,4,A-Award,--D,2261,4374,2,0001344979,"Common Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Feliciani Joseph,4,A-Award,--D,5948,5948,1,0001344979,"Incentive Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Chang Leonard R.,4,A-Award,--D,14126,35233,2,0001796968,"Common Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Chang Leonard R.,4,A-Award,--D,37159,37159,1,0001796968,"Incentive Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,McGranahan John Russell,4,A-Award,--D,11306,28047,2,0001796907,"Common Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,McGranahan John Russell,4,A-Award,--I,29741,29741,1,0001796907,"Incentive Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Neuhoff Elizabeth R.,4,A-Award,--D,2261,2261,2,0001651168,"Common Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Neuhoff Elizabeth R.,4,A-Award,--D,5948,5948,1,0001651168,"Incentive Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Kodialam Rajini Sundar,4,A-Award,--D,17624,44374,2,0001746246,"Common Units in Focus Financial Partners, LLC"
A,12/12/2022 00:00:00,Kodialam Rajini Sundar,4,A-Award,--I,46361,46361,1,0001746246,"Incentive Units in Focus Financial Partners, LLC"
